 0.020	31.07
 0.021	31.17
 0.022	31.30
 0.023	31.52
 0.024	31.75
 0.025	31.95
 0.026	32.17
 0.027	32.46
 0.028	32.75
 0.029	33.03
 0.030	33.17
 0.031	33.18
 0.032	33.29
 0.033	33.45
 0.034	33.46
 0.035	33.47
 0.036	33.44
 0.037	33.30
 0.038	33.16
 0.039	32.96
 0.040	32.71
 0.041	32.59
 0.042	32.46
 0.043	32.34
 0.044	32.26
 0.045	32.18
 0.046	32.08
 0.047	32.01
 0.048	32.02
 0.049	31.77
 0.050	31.63
 0.051	31.35
 0.052	31.06
 0.053	30.75
 0.054	30.48
 0.055	30.19
 0.056	30.08
 0.057	29.96
 0.058	29.85
 0.059	29.75
 0.060	29.57
 0.061	29.42
 0.062	29.26
 0.063	29.14
 0.064	28.99
 0.065	28.89
 0.066	28.73
 0.067	28.63
 0.068	28.52
 0.069	28.43
 0.070	28.32
 0.071	28.23
 0.072	28.19
 0.073	28.11
 0.074	28.05
 0.075	27.98
 0.076	27.96
 0.077	27.96
 0.078	27.89
 0.079	27.85
 0.080	27.87
 0.081	27.92
 0.082	27.86
 0.083	27.90
 0.084	27.95
 0.085	27.89
 0.086	27.86
 0.087	27.92
 0.088	27.91
 0.089	27.81
 0.090	27.79
 0.091	27.77
 0.092	27.65
 0.093	27.52
 0.094	27.53
 0.095	27.55
 0.096	27.50
 0.097	27.46
 0.098	27.62
 0.099	27.68
 0.100	27.53
 0.105	27.67
 0.110	27.18
 0.115	26.64
 0.120	26.17
 0.125	25.83
 0.130	25.54
 0.135	25.13
 0.140	24.85
 0.145	24.81
 0.150	25.01
 0.155	25.14
 0.160	25.44
 0.165	25.90
 0.170	26.28
 0.175	26.29
 0.180	26.25
 0.185	26.31
 0.190	26.13
 0.195	25.90
 0.200	25.84
 0.205	26.05
 0.210	26.49
 0.215	27.01
 0.220	27.61
 0.225	28.13
 0.230	28.48
 0.235	29.02
 0.240	29.44
 0.245	29.64
 0.250	29.48
 0.255	29.10
 0.260	28.83
 0.265	28.70
 0.270	28.87
 0.275	29.02
 0.280	29.47
 0.285	30.09
 0.290	30.40
 0.295	30.77
 0.300	30.41
 0.305	29.62
 0.310	28.99
 0.315	28.48
 0.320	28.10
 0.325	28.09
 0.330	28.25
 0.335	28.21
 0.340	28.48
 0.345	28.50
 0.350	28.50
 0.355	28.27
 0.360	27.38
 0.365	27.15
 0.370	27.16
 0.375	26.97
 0.380	26.78
 0.385	26.49
 0.390	26.20
 0.395	26.06
 0.400	26.22
 0.405	26.48
 0.410	26.78
 0.415	26.96
 0.420	27.17
 0.425	26.97
 0.430	26.75
 0.435	26.38
 0.440	26.15
 0.445	26.03
 0.450	26.01
 0.455	26.09
 0.460	26.14
 0.465	26.29
 0.470	26.36
 0.475	26.14
 0.480	26.03
 0.485	26.16
 0.490	26.09
 0.495	25.82
 0.500	25.65
 0.510	25.20
 0.520	25.15
 0.530	25.52
 0.540	25.69
 0.550	25.19
 0.560	24.96
 0.570	24.50
 0.580	24.59
 0.590	24.91
 0.600	25.10
 0.610	25.22
